condition,segment_id,video_name,frame,time_sec,gt_violation,worker_count,extinguisher_count,max_worker_conf,max_extinguisher_conf,pred_violation,pred_reason
clean,0,RWL_VID_00001.mp4,330,11.0,0,1,2,0.8443785309791565,0.8216983675956726,0,合规/无工人
clean,0,RWL_VID_00001.mp4,331,11.033,0,1,2,0.8446855545043945,0.8225669264793396,0,合规/无工人
clean,0,RWL_VID_00001.mp4,332,11.067,0,1,2,0.848107099533081,0.8244589567184448,0,合规/无工人
clean,0,RWL_VID_00001.mp4,333,11.1,0,1,2,0.8439756035804749,0.8287361264228821,0,合规/无工人
clean,0,RWL_VID_00001.mp4,334,11.133,0,1,2,0.8429112434387207,0.8259323239326477,0,合规/无工人
clean,0,RWL_VID_00001.mp4,335,11.167,0,1,2,0.8455905914306641,0.8290307521820068,0,合规/无工人
clean,0,RWL_VID_00001.mp4,336,11.2,0,1,2,0.8445924520492554,0.8306648135185242,0,合规/无工人
clean,0,RWL_VID_00001.mp4,337,11.233,0,1,2,0.8482624292373657,0.8343797922134399,0,合规/无工人
clean,0,RWL_VID_00001.mp4,338,11.267,0,1,2,0.8466404676437378,0.8308522701263428,0,合规/无工人
clean,0,RWL_VID_00001.mp4,339,11.3,0,1,2,0.848249077796936,0.8263632655143738,0,合规/无工人
clean,0,RWL_VID_00001.mp4,340,11.333,0,1,2,0.8488134145736694,0.8299271464347839,0,合规/无工人
clean,0,RWL_VID_00001.mp4,341,11.367,0,1,2,0.8469672203063965,0.8316469192504883,0,合规/无工人
clean,0,RWL_VID_00001.mp4,342,11.4,0,1,2,0.8449092507362366,0.829712986946106,0,合规/无工人
clean,0,RWL_VID_00001.mp4,343,11.433,0,1,2,0.843523383140564,0.8228565454483032,0,合规/无工人
clean,0,RWL_VID_00001.mp4,344,11.467,0,1,2,0.8434558510780334,0.8301447629928589,0,合规/无工人
clean,0,RWL_VID_00001.mp4,345,11.5,0,1,2,0.8387496471405029,0.8406448364257812,0,合规/无工人
clean,0,RWL_VID_00001.mp4,346,11.533,0,1,2,0.8446295261383057,0.8362280130386353,0,合规/无工人
clean,0,RWL_VID_00001.mp4,347,11.567,0,1,2,0.8391864895820618,0.83486407995224,0,合规/无工人
clean,0,RWL_VID_00001.mp4,348,11.6,0,1,2,0.8530727624893188,0.8358349204063416,0,合规/无工人
clean,0,RWL_VID_00001.mp4,349,11.633,0,1,2,0.8496543169021606,0.8303812742233276,0,合规/无工人
clean,0,RWL_VID_00001.mp4,350,11.667,0,1,2,0.8501030802726746,0.8373821377754211,0,合规/无工人
clean,0,RWL_VID_00001.mp4,351,11.7,0,1,2,0.8537361025810242,0.8188232183456421,0,合规/无工人
clean,0,RWL_VID_00001.mp4,352,11.733,0,1,2,0.854878842830658,0.8111620545387268,0,合规/无工人
clean,0,RWL_VID_00001.mp4,353,11.767,0,1,2,0.8551483154296875,0.8135396242141724,0,合规/无工人
clean,0,RWL_VID_00001.mp4,354,11.8,0,1,2,0.8577099442481995,0.8101427555084229,0,合规/无工人
clean,0,RWL_VID_00001.mp4,355,11.833,0,1,2,0.8517221212387085,0.8136473894119263,0,合规/无工人
clean,0,RWL_VID_00001.mp4,356,11.867,0,1,2,0.8514889478683472,0.8130098581314087,0,合规/无工人
clean,0,RWL_VID_00001.mp4,357,11.9,0,1,2,0.8534332513809204,0.8176259994506836,0,合规/无工人
clean,0,RWL_VID_00001.mp4,358,11.933,0,1,2,0.8530040383338928,0.815498948097229,0,合规/无工人
clean,0,RWL_VID_00001.mp4,359,11.967,0,1,2,0.8490937352180481,0.8199988007545471,0,合规/无工人
clean,0,RWL_VID_00001.mp4,360,12.0,0,1,2,0.8520939946174622,0.8236041069030762,0,合规/无工人
clean,0,RWL_VID_00001.mp4,361,12.033,0,1,2,0.8520989418029785,0.8205633759498596,0,合规/无工人
clean,0,RWL_VID_00001.mp4,362,12.067,0,1,2,0.8501468300819397,0.8218123912811279,0,合规/无工人
clean,0,RWL_VID_00001.mp4,363,12.1,0,1,2,0.850044310092926,0.8254578113555908,0,合规/无工人
clean,0,RWL_VID_00001.mp4,364,12.133,0,1,2,0.8482916951179504,0.831581711769104,0,合规/无工人
clean,0,RWL_VID_00001.mp4,365,12.167,0,1,2,0.8487581610679626,0.8338550925254822,0,合规/无工人
clean,0,RWL_VID_00001.mp4,366,12.2,0,1,2,0.8506993055343628,0.8341584801673889,0,合规/无工人
clean,0,RWL_VID_00001.mp4,367,12.233,0,1,2,0.8518481850624084,0.8312600255012512,0,合规/无工人
clean,0,RWL_VID_00001.mp4,368,12.267,0,1,2,0.8495581150054932,0.8297083973884583,0,合规/无工人
clean,0,RWL_VID_00001.mp4,369,12.3,0,1,2,0.8398160338401794,0.8348729610443115,0,合规/无工人
clean,0,RWL_VID_00001.mp4,370,12.333,0,1,2,0.8302608132362366,0.8326106667518616,0,合规/无工人
clean,0,RWL_VID_00001.mp4,371,12.367,0,1,2,0.8279706835746765,0.8378079533576965,0,合规/无工人
clean,0,RWL_VID_00001.mp4,372,12.4,0,1,2,0.8122917413711548,0.8398441672325134,0,合规/无工人
clean,0,RWL_VID_00001.mp4,373,12.433,0,1,2,0.8096585273742676,0.8354105353355408,0,合规/无工人
clean,0,RWL_VID_00001.mp4,374,12.467,0,1,2,0.8204480409622192,0.8331071138381958,0,合规/无工人
clean,0,RWL_VID_00001.mp4,375,12.5,0,1,2,0.8191395401954651,0.8261905312538147,0,合规/无工人
clean,0,RWL_VID_00001.mp4,376,12.533,0,1,2,0.8146381974220276,0.827867865562439,0,合规/无工人
clean,0,RWL_VID_00001.mp4,377,12.567,0,1,2,0.8170132040977478,0.8371565341949463,0,合规/无工人
clean,0,RWL_VID_00001.mp4,378,12.6,0,1,2,0.8229079842567444,0.8364719748497009,0,合规/无工人
clean,0,RWL_VID_00001.mp4,379,12.633,0,1,2,0.820512592792511,0.8379635214805603,0,合规/无工人
clean,0,RWL_VID_00001.mp4,380,12.667,0,1,2,0.8178722262382507,0.8338495492935181,0,合规/无工人
clean,0,RWL_VID_00001.mp4,381,12.7,0,1,2,0.8236027359962463,0.83892422914505,0,合规/无工人
clean,0,RWL_VID_00001.mp4,382,12.733,0,1,2,0.8265379667282104,0.8398009538650513,0,合规/无工人
clean,0,RWL_VID_00001.mp4,383,12.767,0,1,2,0.8240658640861511,0.8226219415664673,0,合规/无工人
clean,0,RWL_VID_00001.mp4,384,12.8,0,1,2,0.8168765902519226,0.8266875147819519,0,合规/无工人
clean,0,RWL_VID_00001.mp4,385,12.833,0,1,2,0.8233634233474731,0.82932049036026,0,合规/无工人
clean,0,RWL_VID_00001.mp4,386,12.867,0,1,2,0.8211262226104736,0.8252992630004883,0,合规/无工人
clean,0,RWL_VID_00001.mp4,387,12.9,0,1,2,0.8143643736839294,0.8263872861862183,0,合规/无工人
clean,0,RWL_VID_00001.mp4,388,12.933,0,1,2,0.8119349479675293,0.8313078880310059,0,合规/无工人
clean,0,RWL_VID_00001.mp4,389,12.967,0,1,2,0.8020007014274597,0.8275716304779053,0,合规/无工人
clean,0,RWL_VID_00001.mp4,390,13.0,0,1,2,0.803538978099823,0.834885835647583,0,合规/无工人
clean,0,RWL_VID_00001.mp4,391,13.033,0,1,2,0.8104420304298401,0.839024007320404,0,合规/无工人
clean,0,RWL_VID_00001.mp4,392,13.067,0,1,2,0.8161849975585938,0.8381229043006897,0,合规/无工人
clean,0,RWL_VID_00001.mp4,393,13.1,0,1,2,0.8140873312950134,0.8457589745521545,0,合规/无工人
clean,0,RWL_VID_00001.mp4,394,13.133,0,1,2,0.8151193857192993,0.8429663181304932,0,合规/无工人
clean,0,RWL_VID_00001.mp4,395,13.167,0,1,2,0.8127075433731079,0.8410957455635071,0,合规/无工人
clean,0,RWL_VID_00001.mp4,396,13.2,0,1,2,0.8130324482917786,0.8440974354743958,0,合规/无工人
